Surface [m2],Rooms,Price [CHF/month],Country,City
30.0,2.0,679,Germany,Freiburg
41.0,2.0,727,Germany,Freiburg
77.0,3.0,1211,Germany,Freiburg
40.0,2.0,663,Germany,Freiburg
96.0,4.0,1013,Germany,Freiburg
108.0,4.0,1587,Germany,Freiburg
100.0,5.0,449,Germany,Freiburg
70.0,2.0,731,Germany,Freiburg
95.0,3.0,1670,Germany,Freiburg
95.0,4.0,1420,Germany,Freiburg
67.0,3.0,1148,Germany,Freiburg
75.0,3.0,1462,Germany,Freiburg
44.0,2.0,879,Germany,Freiburg
85.0,3.0,1242,Germany,Freiburg
50.0,2.0,809,Germany,Freiburg
56.0,2.0,887,Germany,Freiburg
89.0,4.0,1775,Germany,Freiburg
40.0,2.0,680,Germany,Freiburg
46.0,2.0,1044,Germany,Freiburg
60.0,3.0,1044,Germany,Freiburg
39.0,2.0,731,Germany,Freiburg
90.0,3.0,1462,Germany,Freiburg
44.0,2.0,658,Germany,Freiburg
65.0,2.0,574,Germany,Freiburg
62.0,2.0,1044,Germany,Freiburg
60.0,3.0,835,Germany,Freiburg
91.0,3.0,1206,Germany,Freiburg
58.0,2.0,835,Germany,Freiburg
75.0,3.0,997,Germany,Freiburg
95.0,4.0,418,Germany,Freiburg
72.0,3.0,825,Germany,Freiburg
64.0,2.0,522,Germany,Freiburg
72.0,2.0,708,Germany,Freiburg
60.0,2.0,804,Germany,Freiburg
40.0,2.0,825,Germany,Freiburg
82.0,3.0,1148,Germany,Freiburg
115.0,3.0,1253,Germany,Freiburg
90.0,4.0,731,Germany,Freiburg
100.0,3.0,1984,Germany,Freiburg
120.0,2.0,2506,Germany,Freiburg
50.0,2.0,856,Germany,Freiburg
100.0,4.0,1608,Germany,Freiburg
73.0,4.0,783,Germany,Freiburg
69.0,2.0,1159,Germany,Freiburg
10.0,1.0,99,Germany,Freiburg
113.0,4.0,1780,Germany,Freiburg
86.0,3.0,887,Germany,Freiburg
76.0,3.0,950,Germany,Freiburg
47.0,2.0,835,Germany,Freiburg
71.0,3.0,1148,Germany,Freiburg
58.0,3.0,647,Germany,Freiburg
54.0,2.0,927,Germany,Freiburg
55.0,2.0,679,Germany,Freiburg
55.0,2.0,981,Germany,Freiburg
45.0,2.0,720,Germany,Freiburg
64.0,3.0,638,Germany,Freiburg
86.0,3.0,992,Germany,Freiburg
86.0,2.0,1305,Germany,Freiburg
50.0,2.0,1284,Germany,Freiburg
56.0,2.0,981,Germany,Freiburg
58.0,2.0,773,Germany,Freiburg
110.0,4.0,1566,Germany,Freiburg
53.0,2.0,940,Germany,Freiburg
43.0,1.0,606,Germany,Freiburg
120.0,3.0,2245,Germany,Freiburg
84.0,3.0,1409,Germany,Freiburg
82.0,3.0,1023,Germany,Freiburg
34.0,2.0,543,Germany,Freiburg
98.0,4.0,1357,Germany,Freiburg
43.0,2.0,652,Germany,Freiburg
106.0,2.0,702,Germany,Freiburg
89.0,3.0,1253,Germany,Freiburg
85.0,3.0,1253,Germany,Freiburg
39.0,2.0,616,Germany,Freiburg
35.0,1.0,616,Germany,Freiburg
63.0,2.0,762,Germany,Freiburg
78.0,2.0,893,Germany,Freiburg
49.0,2.0,835,Germany,Freiburg
94.0,4.0,1096,Germany,Freiburg
63.0,3.0,47,Germany,Freiburg
49.0,2.0,1044,Germany,Freiburg
54.0,2.0,1096,Germany,Freiburg
93.0,3.0,1357,Germany,Freiburg
60.0,2.0,1420,Germany,Freiburg
70.0,2.0,1201,Germany,Freiburg
68.0,2.0,574,Germany,Freiburg
101.0,4.0,870,Germany,Freiburg
43.0,2.0,654,Germany,Freiburg
112.0,4.0,647,Germany,Freiburg
11.0,1.0,397,Germany,Freiburg
74.0,2.0,1044,Germany,Freiburg
60.0,2.0,726,Germany,Freiburg
85.0,3.0,1488,Germany,Freiburg
65.0,2.0,835,Germany,Freiburg
76.0,3.0,1472,Germany,Freiburg
70.0,4.0,1305,Germany,Freiburg
65.0,2.0,934,Germany,Freiburg
105.0,4.0,1138,Germany,Freiburg
82.0,3.0,1284,Germany,Freiburg
54.0,2.0,877,Germany,Freiburg
85.0,3.0,1514,Germany,Freiburg
50.0,2.0,397,Germany,Freiburg
59.0,2.0,851,Germany,Freiburg
40.0,2.0,1096,Germany,Freiburg
67.0,3.0,706,Germany,Freiburg
38.0,2.0,689,Germany,Freiburg
60.0,3.0,1357,Germany,Freiburg
79.0,2.0,950,Germany,Freiburg
85.0,3.0,1089,Germany,Freiburg
78.0,3.0,1618,Germany,Freiburg
60.0,3.0,940,Germany,Freiburg
56.0,2.0,1091,Germany,Freiburg
18.0,3.0,386,Germany,Freiburg
95.0,4.0,1409,Germany,Freiburg
50.0,2.0,877,Germany,Freiburg
81.0,3.0,1148,Germany,Freiburg
65.0,3.0,971,Germany,Freiburg
59.0,2.0,574,Germany,Freiburg
40.0,2.0,538,Germany,Freiburg
62.0,3.0,679,Germany,Freiburg
44.0,2.0,548,Germany,Freiburg
44.0,2.0,856,Germany,Freiburg
43.0,2.0,773,Germany,Freiburg
98.0,4.0,1947,Germany,Freiburg
55.0,2.0,783,Germany,Freiburg
67.0,3.0,940,Germany,Freiburg
90.0,4.0,1347,Germany,Freiburg
60.0,2.0,574,Germany,Freiburg
51.0,2.0,658,Germany,Freiburg
75.0,3.0,313,Germany,Freiburg
73.0,3.0,1201,Germany,Freiburg
50.0,2.0,553,Germany,Freiburg
43.0,2.0,804,Germany,Freiburg
38.0,1.0,539,Germany,Freiburg
70.0,2.0,1148,Germany,Freiburg
95.0,3.0,1451,Germany,Freiburg
80.0,3.0,1242,Germany,Freiburg
60.0,2.0,736,Germany,Freiburg
56.0,2.0,538,Germany,Freiburg
78.0,3.0,908,Germany,Freiburg
54.0,2.0,773,Germany,Freiburg
60.0,2.0,1060,Germany,Freiburg
100.0,4.0,2088,Germany,Freiburg
47.0,2.0,818,Germany,Freiburg
65.0,2.0,929,Germany,Freiburg
33.0,2.0,574,Germany,Freiburg
60.0,2.0,971,Germany,Freiburg
77.0,2.0,626,Germany,Freiburg
51.0,2.0,731,Germany,Freiburg
39.0,2.0,658,Germany,Freiburg
45.0,2.0,752,Germany,Freiburg
45.0,2.0,788,Germany,Freiburg
